Herb Name,Scientific Name,Primary Indications,Key Safety Concerns,Organ Systems
Ashwagandha,Withania somnifera,"stress, anxiety, immunity","sedation, thyroid effects, immunomodulation","nervous_system, immune_system, endocrine"
Turmeric,Curcuma longa,"inflammation, pain, immunity","bleeding risk, hepatotoxicity at high doses, gallbladder stimulation","liver, blood, digestive_system"
Brahmi,Bacopa monnieri,"memory, cognition, anxiety","thyroid effects, GI upset, bradycardia","nervous_system, endocrine"
Triphala,Terminalia chebula + Terminalia bellirica + Emblica officinalis,"digestion, constipation, detox","diarrhea, electrolyte imbalance, INR alterations","digestive_system, colon"
Holy Basil (Tulsi),Ocimum sanctum,"immunity, cough, stress","hypoglycemia, bleeding risk, fertility effects","respiratory_system, immune_system"
Guggul,Commiphora mukul,"cholesterol, arthritis, weight loss","bleeding risk, thyroid effects, hepatotoxicity","liver, thyroid, cardiovascular"
Shankhpushpi,Convolvulus pluricaulis,"memory, anxiety, sleep","sedation, antiepileptic drug interactions",nervous_system
Ginger,Zingiber officinale,"nausea, digestion, inflammation","bleeding risk, heartburn, hypoglycemia","digestive_system, blood"
Boswellia (Shallaki),Boswellia serrata,"arthritis, inflammation, pain","GI upset, nausea, immunomodulation","joints, digestive_system"
Neem,Azadirachta indica,"skin conditions, immunity, blood sugar","hypoglycemia, fertility effects, hepatotoxicity, immunomodulation","skin, liver, immune_system"
Arjuna,Terminalia arjuna,"heart health, hypertension, cholesterol","hypotension, bleeding risk, cardiac glycoside interaction",cardiovascular
Shatavari,Asparagus racemosus,"female reproductive health, lactation, immunity","hormone-sensitive conditions, diuretic effect, allergy","reproductive_system, kidney, digestive_system"
Guduchi,Tinospora cordifolia,"immunity, fever, diabetes","hypoglycemia, immunomodulation, autoimmune activation","immune_system, liver"
Haritaki,Terminalia chebula,"digestion, constipation, detox","diarrhea, dehydration, hypoglycemia","digestive_system, colon"
Amla,Emblica officinalis,"immunity, vitamin C, hair health","bleeding risk (high vitamin C), INR changes, diarrhea","immune_system, digestive_system"
Punarnava,Boerhavia diffusa,"kidney health, edema, liver health","electrolyte imbalance, dehydration, lithium interaction","kidney, liver"
Licorice (Yashtimadhu),Glycyrrhiza glabra,"cough, ulcers, adrenal support","hypertension, hypokalemia, edema, cardiac arrhythmia","respiratory_system, adrenal, cardiovascular"
Fenugreek (Methi),Trigonella foenum-graecum,"diabetes, lactation, digestion","hypoglycemia, bleeding risk, uterine stimulation","pancreas, blood, reproductive_system"
Moringa,Moringa oleifera,"nutrition, immunity, lactation","hypoglycemia, hypotension, laxative effect","general_nutrition, immune_system"
Bala,Sida cordifolia,"strength, immunity, nervous system","cardiovascular stimulation, hypertension, insomnia","cardiovascular, nervous_system"
Vacha,Acorus calamus,"cognitive, speech, epilepsy","carcinogenicity (beta-asarone), hepatotoxicity, banned in some countries","nervous_system, liver"
Jatamansi,Nardostachys jatamansi,"anxiety, sleep, mental health","sedation, hypotension, CNS depression","nervous_system, cardiovascular"
Vidari Kanda,Pueraria tuberosa,"strength, lactation, aphrodisiac","hormone-sensitive conditions, estrogenic effects","reproductive_system, endocrine"
Gokshura,Tribulus terrestris,"kidney stones, urinary health, libido","hormonal effects, hypoglycemia, photosensitivity","kidney, reproductive_system"
Kalmegh,Andrographis paniculata,"fever, immunity, liver health","bleeding risk, hypotension, fertility effects, immunomodulation","immune_system, liver"
Manjistha,Rubia cordifolia,"skin conditions, blood purification, menstrual health","bleeding risk, kidney stones, urine discoloration","blood, skin, kidney"
Pippali,Piper longum,"respiratory, digestion, bioavailability enhancer","increases drug absorption, GI irritation, drug interaction potential","digestive_system, respiratory_system, bioavailability"
Chyawanprash,Polyherbal formulation (Amla-based),"immunity, energy, respiratory health","high sugar content, hypoglycemia risk with diabetes meds, allergy potential","immune_system, respiratory_system, general"
